pres.abs;northing;easting;altitude;distance;NoOfPools;avrain;meanmin;meanmax
0;263;786;1600;4000;11;148.6666667;2.5;13.1666666666667
0;256;775;1510;5250;3;141.6666667;2.8;14
0;186;1096;1320;500;11;130;4.13333333333333;15.7
0;192;1112;1290;500;28;125.6666667;4.23333333333333;15.9333333333333
0;197;1121;1290;500;4;124.6666667;4.23333333333333;15.9333333333333
0;186;1125;1300;750;12;127;4.23333333333333;15.8333333333333
0;195;1124;1300;250;15;126;4.23333333333333;15.8666666666667
0;184;1131;1290;1700;25;126;4.3;15.9333333333333
0;198;1093;1320;250;16;129;4.1;15.7
0;296;740;1540;8000;40;132.3333333;2.6;13.8
0;280;730;1640;9000;16;151.6666667;2.26666666666667;12.7333333333333
0;145;945;1400;4500;5;147.3333333;3.73333333333333;14.8666666666667
0;154;954;1380;3500;23;144;3.73333333333333;15.0666666666667
0;163;955;1400;250;22;145.3333333;3.7;14.9
0;199;977;1580;1750;12;156.6666667;3;13.3333333333333
0;201;988;1560;750;32;154.3333333;3.1;13.4666666666667
1;244;998;1670;2500;6;159;2.63333333333333;12.6333333333333
0;196;937;1780;2000;53;180.6666667;2.16666666666667;11.6
0;227;1107;1570;250;12;149.6666667;3.26666666666667;13.4666666666667
0;238;1113;1600;1250;22;151;3.1;13.2333333333333
0;243;1112;1600;1500;3;150.6666667;3.1;13.2333333333333
0;243;1109;1570;1500;1;148;3.2;13.5333333333333
0;239;1110;1610;1000;5;151.6666667;3.1;13.2
0;238;1118;1560;1750;8;147.6666667;3.3;13.5333333333333
0;195;947;1680;1000;32;168.6666667;2.56666666666667;12.4333333333333
0;244;824;1760;4000;9;176;2.06666666666667;11.7
0;286;730;1660;9000;6;153.3333333;2.23333333333333;12.5666666666667
0;282;718;1700;10000;4;160.3333333;2.06666666666667;12.1333333333333
0;261;729;1600;9500;5;150.3333333;2.46666666666667;13.1
0;285;735;1600;8500;26;144;2.4;13.1666666666667
0;128;1075;1300;2500;9;132;4.26666666666667;15.7666666666667
0;301;1031;1620;500;52;145.6666667;2.76666666666667;13.1666666666667
0;299;1021;1700;1750;82;155;2.43333333333333;12.4666666666667
0;304;1022;1700;1000;100;154;2.43333333333333;12.4666666666667
0;305;1014;1660;750;6;149.6666667;2.56666666666667;12.8
0;313;1015;1710;750;8;154;2.4;12.4
0;295;1034;1610;250;27;145.6666667;2.83333333333333;13.2
0;316;1022;1690;500;43;151.3333333;2.43333333333333;12.5666666666667
0;301;1012;1620;1000;18;145.6666667;2.73333333333333;13.1666666666667
0;308;1024;1710;500;52;155;2.4;12.4
0;223;1043;1600;500;20;154;3;13.2
0;221;1034;1700;750;40;164.6666667;2.6;12.3666666666667
0;165;1065;1290;3750;10;129;4.23333333333333;15.9
0;143;1045;1300;2750;17;132.3333333;4.2;15.8
0;159;1045;1330;3250;7;134.6666667;4.1;15.5333333333333
0;152;1043;1320;3750;14;134;4.1;15.6
0;155;1047;1350;3750;2;137;4;15.3333333333333
0;217;1017;1600;1250;21;155;2.96666666666667;13.1666666666667
0;180;958;1580;1250;4;159.6666667;3;13.3
0;187;1024;1480;250;42;148;3.5;14.2
0;192;1026;1480;750;36;147.3333333;3.5;14.2
0;212;1093;1480;250;32;144;3.6;14.2333333333333
0;263;1012;1640;1000;4;153.3333333;2.73333333333333;12.9333333333333
0;207;707;1640;14000;46;171.3333333;2.36666666666667;12.6
0;185;673;1720;18000;12;198.3333333;2.1;11.7333333333333
1;104;1016;1600;250;6;167.3333333;3.13333333333333;13.0666666666667
1;203;962;1680;1500;42;166.6666667;2.56666666666667;12.4666666666667
0;136;1097;1300;500;6;131;4.26666666666667;15.7666666666667
0;208;1219;1350;750;21;129;4.13333333333333;15.4333333333333
0;126;1120;1500;2000;6;151.6666667;3.66666666666667;13.9666666666667
0;132;1130;1520;2750;4;153;3.63333333333333;13.8333333333333
0;317;998;1700;1500;8;152.6666667;2.4;12.4666666666667
0;304;988;1660;2000;24;149.6666667;2.53333333333333;12.7666666666667
0;295;984;1680;2500;34;153;2.46666666666667;12.6333333333333
0;289;990;1700;1750;42;156.3333333;2.4;12.4333333333333
0;280;985;1800;2250;112;170;2.03333333333333;11.6
0;270;978;1790;3250;26;170;2.06666666666667;11.6333333333333
0;268;995;1720;2000;22;161.6666667;2.33333333333333;12.2333333333333
0;273;1002;1760;1000;18;165.6666667;2.23333333333333;11.9
0;119;1003;1600;500;6;166.6666667;3.1;13.0666666666667
0;132;1092;1280;750;5;129;4.33333333333333;15.9666666666667
0;217;1017;1600;750;23;155;2.96666666666667;13.1666666666667
0;228;984;1600;750;4;154.3333333;2.86666666666667;13.1666666666667
0;246;1000;1600;500;3;151.6666667;2.86666666666667;13.2666666666667
0;226;968;1600;1500;6;155;2.86666666666667;13.1666666666667
0;212;998;1600;750;16;156.3333333;2.96666666666667;13.1666666666667
0;220;1051;1580;1000;3;152.3333333;3.1;13.3666666666667
0;224;988;1610;750;12;155.6666667;2.86666666666667;13.1
0;255;1008;1620;1500;8;152.3333333;2.83333333333333;13.0666666666667
0;289;1033;1640;2000;4;149.3333333;2.73333333333333;12.9666666666667
0;295;1046;1580;1500;6;143.3333333;2.96666666666667;13.5
0;143;1047;1300;3000;4;132.3333333;4.2;15.8
0;299;730;1580;8000;16;138;2.43333333333333;13.4
0;287;730;1640;9000;8;150.3333333;2.26666666666667;12.7666666666667
0;269;729;1660;9500;30;157;2.26666666666667;12.5333333333333
0;186;1108;1440;2750;8;142.3333333;3.76666666666667;14.5333333333333
